idx,name,company_code,industry,size,year,established_date,ceo,debt_ratio,assets,sales_growth,current_ratio,quick_ratio,inventory_turnover,receivables_turnover,asset_turnover,fixed_asset_turnover,operating_cf,operating_cf_to_assets,operating_cf_to_debt,industry_avg_roe,industry_avg_roa,industry_avg_debt_ratio,roa,roic,division,employee_growth_rate,roe,operating_cf_to_sales,profit_growth,optl,ffoeq,oeneg,cfoint,accounts_payable_turnover,interest_coverage_ratio,noncurrent_asset_turnover,industry_avg_pd,pd,score,grade
5,(주)유한양행,000100,제조업,중견기업,2021,1926-06-20,조욱제,27.27029768,2463811805.0,4.194485484,283.3692526,216.0883344,441.6233391,369.9638721,69.49533842,453.9122176,99000468.0,4.018183037,18.75283348,-82.76486438,2.859484577,296.1260635,4.023305587,1.87309558,상장,1.24,5.241481941,5.865615759,-42.32263548,9.205157959,5.113953512,0,3362.820761,8.807867348,21.11172698,138.4744896,4.5,0.24,792,A
5,(주)유한양행,000100,제조업,중견기업,2022,1926-06-20,조욱제,23.15570416,2472728072.0,5.216025999,273.8422329,206.5087179,457.3286553,367.2803183,71.94703121,437.5939053,99528971.0,4.025067379,21.40768442,6.700285441,3.030629599,292.8512353,3.663667147,1.65561902,상장,3.19,4.594296238,5.604591735,-25.86040408,7.749469807,4.957100074,0,2869.885299,9.133390646,13.07228564,140.7422418,4.39,0.25,788,A
5,(주)유한양행,000100,제조업,중견기업,2023,1926-06-20,조욱제,33.89288739,2814070522.0,4.681530541,215.4450872,163.0939861,461.8492976,347.9744578,70.32549952,326.2645125,144128102.0,5.121694743,20.23310938,13.13683595,2.817590129,148.4047922,4.762905405,2.464645762,상장,3.3,6.522946569,7.753058693,57.53933495,7.968100076,6.857584978,0,2287.87185,8.265243046,10.46994472,130.8479316,3.7,0.32,755,A
15230,(주)뷰웍스,100120,제조업,중견기업,2022,1999-09-18,김후식,37.78464735,288409270.0,23.19022735,249.083117,122.6746874,156.2557069,592.251535,89.91137765,312.5193789,-1496119.0,-0.518748583,-1.891656937,6.700285441,3.030629599,292.8512353,9.174246722,13.40005661,상장,9.92,13.31112108,-0.628809509,25.42214885,55.20016981,-0.714755903,0,-139.391181,18.94223258,43.42729409,259.7339112,4.39,3.31,465,B
15230,(주)뷰웍스,100120,제조업,중견기업,2023,1999-09-18,김후식,35.72030885,292673433.0,-7.430068589,255.090711,132.1410009,137.4331932,459.5106379,75.80695067,259.6497169,23255149.0,7.94576698,30.19016306,13.13683595,2.817590129,148.4047922,5.042920653,6.183506981,상장,10.65,6.946145771,10.55849811,-57.08358512,24.32394104,10.78401949,0,937.5968484,18.66918226,8.926734461999999,212.691764,3.7,0.15,847,A
15234,(주)동국에스엔씨,100130,제조업,중견기업,2022,2001-07-02,이원휘,79.63084356,503022502.0,25.9696834,101.2486909,47.91058114,387.3899163,1110.833847,100.0155347,309.3632077,-44228706.0,-8.792589959,-19.83427879,6.700285441,3.030629599,292.8512353,-1.655873637,-2.006469414,상장,12.0,-2.904778425,-9.269488565,-162.1135052,-5.110303678,-15.79420351,0,-1078.508761,7.490877017,-2.512006717,211.5478516,4.39,5.56,398,B
15234,(주)동국에스엔씨,100130,제조업,중견기업,2023,2001-07-02,이원휘,89.54194566,472601990.0,-16.53317256,99.96248003,59.58610262,439.8050899,657.5781459,81.64125425,302.6020303,-8602474.0,-1.820236517,-3.853067614,13.13683595,2.817590129,148.4047922,-6.404177646,-6.50303912,상장,8.04,-11.43482124,-2.160036063,178.6304805,-14.22153303,-3.450111709,0,-100.1597904,8.36505729,-3.56251061,146.8973788,3.7,14.19,271,C
15300,(주)진양홀딩스,100250,제조업,중견기업,2021,2008-01-07,양준영 / 최창호,45.13615378,566089269.0,6.264305544,144.0938168,131.5765608,1560.454843,654.8377752,40.35398686,80.94117639,13592364.0,2.401099039,7.720779248,-82.76486438,2.859484577,296.1260635,2.645086883,1.17152638,상장,0.0,3.845381214,6.046655836,-40.77819598,3.895486079,3.484862794,0,790.527648,7.109447574,4.375082296,55.52300664,4.5,0.38,735,A
15300,(주)진양홀딩스,100250,제조업,중견기업,2022,2008-01-07,양준영 / 최창호,48.2965191,597085262.0,4.344549562,163.4801844,153.7183348,1603.048859,694.0009344,40.33059472,106.5721004,8233891.0,1.379014276,4.234322072,6.700285441,3.030629599,292.8512353,4.670758227,0.866022735,상장,0.0,7.036579616,3.510391859,-23.71592814,2.690346135,2.045030169,0,285.2021294,7.221060575,2.329931345,62.81491051,4.39,1.35,577,B
15300,(주)진양홀딩스,100250,제조업,중견기업,2023,2008-01-07,양준영 / 최창호,50.68652555,643080913.0,15.58109928,155.0249821,145.4851934,1758.36728,647.8581944,43.72063381,104.5593578,-6244236.0,-0.970987612,-2.886659679,13.13683595,2.817590129,148.4047922,5.93945151,0.516597667,상장,0.0,9.210424849,-2.303260042,-32.80624168,1.625079435,-1.463147496,0,-141.1909791,6.482283375,1.065774104,72.85809147,3.7,7.05,367,C
250,한국내화(주),010040,제조업,중견기업,2021,1976-03-13,변성희,41.0008058,357947858.0,33.40457637,187.2123431,111.260851,590.5463168,795.2634732,96.91488635,300.012669,16163350.0,4.515559917,15.5289042,-82.76486438,2.859484577,296.1260635,1.588059789,2.421382207,상장,-2.01,2.856164184,5.948134545,65.77430301,8.251991294,6.366975852,0,1867.181498,17.18956521,11.23632047,147.1186769,4.5,0.29,768,A
250,한국내화(주),010040,제조업,중견기업,2022,1976-03-13,변성희,47.95054097,325998841.0,32.02933933,187.617448,111.378883,632.9494963,853.7190044,104.9128733,344.8559333,6506971.0,1.99601047,6.158654791,6.700285441,3.030629599,292.8512353,0.248225422,3.291998691,상장,4.1,0.341291769,1.813668155,22.48264173,9.957054005,2.953108289,0,612.3942869,14.23692037,11.10580624,166.4962611,4.39,0.29,767,A
250,한국내화(주),010040,제조업,중견기업,2023,1976-03-13,변성희,61.9667908,333192248.0,14.78257597,143.4373838,99.30923103,862.6976217,712.1176975,124.9440785,347.3481841,10240134.0,3.07334101,8.032999192,13.13683595,2.817590129,148.4047922,-4.421010419,-2.895714016,상장,5.09,-6.914744682,2.486615457,-171.6574699,-5.913674629,4.977791804,0,663.0974274,13.62308329,-4.001225160000001,201.1160161,3.7,2.66,493,B
15532,(주)세운메디칼,100700,제조업,중소기업,2021,1982-08-06,이재희,7.594664896,124724932.0,-1.804042152,1014.980532,779.1574041,211.2606236,492.2999514,53.429216,160.6054049,21468764.0,17.21288892,243.857371,-82.76486438,2.859484577,296.1260635,10.23223889,10.11763601,상장,-2.27,11.64416791,34.30640441,6.890501537,174.7695432,18.52015015,0,68213.27487,36.66399163,513.5443078000001,150.2112343,4.5,0.13,870,A
15532,(주)세운메디칼,100700,제조업,중소기업,2022,1982-08-06,이재희,5.962644948,132478680.0,-3.936353626,1367.551634,1045.9555,216.2412819,470.1696701,46.74593372,155.507152,9278515.0,7.003779778,124.4647361,6.700285441,3.030629599,292.8512353,8.030801635,7.471432085,상장,-7.91,8.831141911,15.43432239,-20.79354386,163.4802664,7.421390299,0,25908.23165,29.84128243,362.4644403,145.2132756,4.39,0.12,880,A
15532,(주)세운메디칼,100700,제조업,중소기업,2023,1982-08-06,이재희,6.47737622,146611653.0,13.52519038,1300.779691,1064.540446,227.9361178,518.67452,48.90669861,187.8133001,23076351.0,15.73977957,258.7360026,13.13683595,2.817590129,148.4047922,10.55437319,9.797575308,상장,-1.01,11.77994381,33.81302228,38.83767638,189.7118909,16.7593043,0,63951.75424,33.46182351,492.1688283,171.5325038,3.7,0.13,869,A
15601,에스앤티에너지(주),100840,제조업,중견기업,2021,2008-02-05,김형섭,35.65223494,332143488.0,-27.93248388,301.7749011,292.1579642,3247.99407,285.215145,51.26272282,137.0600592,29859821.0,8.990036559,34.2059496,-82.76486438,2.859484577,296.1260635,3.764391431,4.107326397,상장,-2.6,5.202917005,17.45289253,-42.57123301,15.21401781,12.19518551,0,47862.24855,5.088714776,222.0099059,129.571543,4.5,0.16,839,A
15601,에스앤티에너지(주),100840,제조업,중견기업,2022,2008-02-05,김형섭,68.25385755,429772702.0,18.58138778,253.9107097,240.7480212,2582.477699,448.4560584,53.2548429,132.3791161,28910380.0,6.726900025,16.58260678,6.700285441,3.030629599,292.8512353,3.513345992,1.02534394,상장,-5.35,6.036375975,14.25008602,-73.18382858,2.042797155,11.31826881,0,8619.415044,5.8078148380000005,13.44482574,131.3730307,4.39,0.54,692,B
15601,에스앤티에너지(주),100840,제조업,중견기업,2023,2008-02-05,김형섭,53.31216585,423163460.0,58.69371854,198.056331,193.339175,3626.323206,936.3987982,75.49349279,212.9302779,3280032.0,0.775121746,2.229052071,13.13683595,2.817590129,148.4047922,5.370856453,6.920338698,상장,37.85,8.553090345,1.018783798,483.390197,14.11976608,1.188355937,0,181.3647342,5.9520624280000005,12.42151075,184.5788052,3.7,0.43,719,A
264,한국무브넥스(주),010100,제조업,중견기업,2021,1974-07-15,이현덕,166.31862,699351929.0,13.87975803,98.80701983,70.83266256,864.7818542,448.192765,146.8427994,411.4532031,40705923.0,5.820520587,9.320141127,-82.76486438,2.859484577,296.1260635,2.823846647,4.441762056,상장,-1.05,7.906407469,4.054666256,90.22810192,5.99929479,15.5011301,0,1252.136643,3.733282279,8.553815431,345.8358755,4.5,0.24,791,A
264,한국무브넥스(주),010100,제조업,중견기업,2022,1974-07-15,이현덕,165.3632044,799394136.0,36.59884761,101.9992315,76.9688508,1105.096131,519.2377287,183.0001599,512.9571997,43649827.0,5.460363672,8.762406405,6.700285441,3.030629599,292.8512353,4.458344688,7.079068472,상장,4.65,12.64168213,3.182973312,41.22419339,7.428229088,14.48979601,0,905.0056861,4.460471237,7.958287884,434.1615077,4.39,0.25,786,A
264,한국무브넥스(주),010100,제조업,중견기업,2023,1974-07-15,이현덕,156.381727,874724776.0,10.16893045,111.4808312,87.63317671,1252.45537,508.0623784,180.4896721,487.0403499,98019888.0,11.20579761,18.37146703,13.13683595,2.817590129,148.4047922,5.772050979,8.447438404,상장,-1.01,15.7184072,6.487920794,60.35663304,11.12143911,28.72961742,0,1346.728567,4.562354273,8.290111522,419.0333195,3.7,0.18,828,A
15757,우림피티에스(주),101170,제조업,중소기업,2021,2000-03-01,한현석 / 한우진,12.97835417,92634003.0,0.723300342,466.5370202,313.9219758,338.2837039,599.2476492,66.3628977,145.7855307,5384954.0,5.813150491,50.6042728,-82.76486438,2.859484577,296.1260635,3.801649379,2.108080353,상장,-7.26,4.369954803,8.894225874,169.2330059,19.05587126,6.56760175,0,19084.07697,14.07910316,87.39047382999999,126.9560778,4.5,0.33,751,A
15757,우림피티에스(주),101170,제조업,중소기업,2022,2000-03-01,한현석 / 한우진,10.48932027,95217187.0,12.84538197,545.0984551,415.8116256,441.4195887,410.1453951,72.74006409,168.5407389,1822829.0,1.914390729,20.16524663,6.700285441,3.030629599,292.8512353,5.350233672,5.212680498,상장,-0.87,6.058546714,2.668015173,165.3232357,59.51912161,2.115197303,0,,17.05840729,,145.7020049,4.39,0.17,833,A
15757,우림피티에스(주),101170,제조업,중소기업,2023,2000-03-01,한현석 / 한우진,18.46551105,106077338.0,-16.06614447,285.3836941,112.9367505,264.9395166,314.2678336,56.97611597,110.3457927,1878203.0,1.770597788,11.35927249,13.13683595,2.817590129,148.4047922,4.748988893,2.714643366,상장,21.93,5.73365101,3.27527464,-54.03252217,14.95745027,2.097547718,0,3389.768625,21.01968543,51.69195783999999,107.0971706,3.7,0.2,812,A
265,LS일렉트릭(주),010120,제조업,대기업,2021,1974-07-24,구자균 / 채대석,89.81233817,2796731558.0,11.0540429,223.3226759,188.6410411,995.2027276,484.6487373,99.98880165,472.8726386,101544478.0,3.630826767,7.673508252,-82.76486438,2.859484577,296.1260635,3.050358757,5.883266889,상장,-1.04,5.910191981,3.80563695,16.01807248,11.72300128,6.891757181,0,682.3767086,9.306864668,13.04132229,296.5439238,4.5,0.43,720,A
